symbol,chg_corr,chg_t,lvl_corr,lvl_coint_p,n,rank_chg,rank_lvl_coint
ADNT,0.008131553483932769,0.07452938277810377,0.5842729523110736,0.24842446178503041,86,528,532.0
GNTX,0.00770041106013593,0.07057752565585972,0.7669077803175063,0.14925732551307613,86,529,317.0
DNLI,0.007599020847936108,0.0696481874368562,-0.47336330119820597,0.3332705868211896,86,530,696.0
CSGP,0.007444090772967036,0.06822810933353106,-0.12799856220381745,0.5191049333696696,86,531,1036.0
TRMB,0.007240530436479729,0.0663622971474374,0.06716766361945567,0.604209942771845,86,532,1254.0
SSRM,0.007065008633067979,0.06475348977734634,-0.2843105349780839,0.43508996100823494,86,533,879.0
SBLK,0.006581121613519626,0.060318282144906546,0.5789744082878528,0.28504730867101213,86,534,603.0
QQQ,0.006532320158903744,0.0598709805808445,0.3558106131158029,0.4861530949535036,86,535,980.0
EW,0.005861244056074531,0.053720111870315355,0.7187174084225486,0.08753957190562695,86,536,179.0
TEL,0.005485133694360898,0.050272836980083856,0.5842066222215836,0.717296935360447,86,537,1291.0
SQSP,0.005466824272897755,0.05010502081227154,-0.6842082400561627,0.18228436207333865,86,538,381.0
RNG,0.005371776810653578,0.04923385805334338,-0.1913773541507438,0.5263557000357489,86,539,1044.0
TAP,0.004997591951338194,0.04580425882446397,-0.5690074434716027,0.14881071399061646,86,540,316.0
DLO,0.00470548011462019,0.043126915063580414,-0.20433891507922358,0.48905268711245076,86,541,987.0
SPY,0.004665289011168312,0.04275854538577399,-0.11766967684751109,0.5418055761843499,86,542,1077.0
GBDC,0.00435324340719642,0.03989851291881744,0.6726988515009845,0.1248340405342162,86,543,264.0
JBL,0.003853195188163959,0.03531537940109211,0.33572702275112404,0.5250189643035135,86,544,1042.0
SMCI,0.0037287242189943037,0.03417455953015599,0.7749615173829492,0.05217188349725066,86,545,103.0
UPWK,0.0036685646911435695,0.033623177035302994,0.7083506971239533,0.048357814769968116,86,546,94.0
ROKU,0.0036627026027305177,0.03356944902463529,-0.3318761034132959,0.4434066186350629,86,547,895.0
AKAM,0.003635534329253443,0.03332044271153236,-0.5362014120347198,0.24315124389605058,86,548,523.0
IWM,0.003541451691746594,0.03245814443863224,-0.16720480046996117,0.5285761836895386,86,549,1047.0
IOT,0.0035203761999550343,0.03226498075338643,-0.5627574089739201,0.27852707808211963,86,550,594.0
GSK,0.00348748620240117,0.03196353339502248,-0.5752089820006574,0.12839961077717266,86,551,277.0
KIM,0.0034457220759891802,0.03158075195370193,-0.6021405103244274,0.24558926615777882,86,552,528.0
ABBV,0.0032059181602653755,0.02938287628018463,-0.7124459355886316,0.07888314539371377,86,553,157.0
ALIT,0.0031972987245092576,0.029303876631931833,0.22738717736489067,0.6876646137672418,86,554,1289.0
YOU,0.0031194063529975838,0.028589970572369592,-0.7301706430783935,0.1258813780456723,86,555,271.0
NSC,0.0027846423559737547,0.025521767710318964,-0.664375833176561,0.12831306621484784,86,556,276.0
HSY,0.0026693702835013226,0.024465269928278088,-0.6231744549084287,0.14159803479857486,86,557,306.0
KVYO,0.002456724989152744,0.0225163243976783,-0.6943213163457959,0.12973663013335707,86,558,278.0
AMZN,0.0023308596612915604,0.021362739695340686,0.5257106007812956,0.3109335799513692,86,559,650.0
MU,0.0021791757452543177,0.019972523033363613,0.6584440748714463,0.20801587755166745,86,560,439.0
BTSG,0.0021442439574028416,0.019652365665200323,-0.5415596429720492,0.31186371022809195,86,561,652.0
USMV,0.0020067776696666905,0.018392458183081502,-0.616025944487534,0.23355360887656001,86,562,502.0
CNQ,0.0014735373838037234,0.013505207863276268,0.2694844367652976,0.451496556925659,86,563,914.0
VEEV,0.001332827105042253,0.012215573044338342,-0.557950184945876,0.2175250131889157,86,564,454.0
GOGL,0.0011319756303038823,0.010374734668358705,0.5808514046323967,0.3277508710330316,86,565,688.0
FSLY,0.0006344549373653943,0.005814876721370972,0.5821143554495236,0.6806765548181855,86,566,1288.0
LKNCY,0.00016485584475491675,0.0015109287952221851,0.10429030572892745,0.6253204730836907,86,567,1269.0
ZTO,-0.00015582331568890262,-0.001428144295705111,-0.20727119871004604,0.44478260837216904,86,568,900.0
CI,-0.0005358212558815516,-0.00491088363305527,-0.4769497112527225,0.308843397878209,86,569,647.0
ESTC,-0.00083596822892703,-0.0076617780524625605,0.6157998331974976,0.1912253463004156,86,570,399.0
CRSP,-0.0016490659624420717,-0.015113959748337206,0.6938629564424257,0.12561891477778248,86,571,269.0
KSS,-0.0016698899599712316,-0.015304815626632494,0.5773111861685906,0.04041602237879749,86,572,74.0
PTEN,-0.0021384267145077916,-0.01959904938668744,0.7332830033402717,0.05394483002515672,86,573,106.0
GIS,-0.0022376810023871934,-0.020508736495111732,-0.8071344844311985,0.03151454363809549,86,574,63.0
IRM,-0.0025473241501300686,-0.023346687221939295,-0.6284709024696247,0.2039893542711046,86,575,430.0
APLT,-0.002924022129833537,-0.02679922005301957,-0.5217926292462517,0.224179589058211,86,576,475.0
NOV,-0.002933153401701314,-0.02688291061874281,0.6220547358658629,0.13282183300520517,86,577,283.0
ANVS,-0.0030891470749916127,-0.028312635699652998,0.31826248353824915,0.44748488268591885,86,578,910.0
