direction,cause_col,effect_col,k,coef,t_stat,p_value,p_granger,r_squared,n_obs,n_days,k_used,n_ylags,dof,cov_type,reliability_tier,x_ticker,y_ticker,bar_freq
x_to_y,chg_x,chg_y,10,0.03228072998402022,5.63289826169143,1.7720600670876344e-08,0.1654937437457967,0.783781078310431,45,3,10,0,32,cluster_by_day,high,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,1,0.030614777476161023,2.0060351551616766,0.04485249735612732,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,2,0.03693335493482233,1.8591929467841808,0.06299979421682735,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,3,0.045578318074500954,1.3307545635589504,0.18326978286085216,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,4,0.04051663867646161,1.4127366003585569,0.1577331857263724,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,5,0.016592444020315362,1.6404043684573932,0.10092111764733132,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,6,0.024298482258046872,1.4284760544158672,0.15315488208777286,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,7,0.023712364168272635,1.5970249831477086,0.11026013838996697,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,8,0.024336421440251853,2.3805883017957954,0.01728501781574721,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,9,0.026919993349016194,1.88007415347529,0.06009797246232879,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
y_to_x,chg_y,chg_x,10,0.05269756096708234,1.0753599399914608,0.2822136098508278,0.17452147776311805,0.6741644182260356,45,3,10,4,28,cluster_by_day,medium,KXECKH276,KXECDJT281,600s
x_to_y,chg_x,chg_y,1,0.0841639571390695,14.073414740146143,5.5331779083383284e-45,2.132446632439602e-161,0.9044945176196807,26,10,3,2,11,cluster_by_day,medium,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,2,0.04257438135092694,4.81973652005719,1.437479408392535e-06,2.132446632439602e-161,0.9044945176196807,26,10,3,2,11,cluster_by_day,medium,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,3,0.07450180670861173,7.314218655601445,2.588833008047275e-13,2.132446632439602e-161,0.9044945176196807,26,10,3,2,11,cluster_by_day,medium,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
y_to_x,chg_y,chg_x,1,-0.0039343308575985345,-2.931363120664532,0.0033747805171437436,0.0,0.5251360850135139,26,10,3,0,13,cluster_by_day,medium,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
y_to_x,chg_y,chg_x,2,-0.050674611477117264,-42.86557480007579,0.0,0.0,0.5251360850135139,26,10,3,0,13,cluster_by_day,medium,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
y_to_x,chg_y,chg_x,3,-0.03349801479639987,-34.04195367409312,5.339128996718713e-254,0.0,0.5251360850135139,26,10,3,0,13,cluster_by_day,medium,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,1,-0.008696306176544743,-1.0366132653166362,0.29991612856563654,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,2,-0.013874872890057552,-1.326241452084711,0.18475973297558668,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,3,-0.02002667824810113,-1.9746838590017388,0.04830403578226112,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,4,-0.013606983130805082,-0.9982604936915344,0.31815305924098236,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,5,-0.015075136223612272,-1.5014398296649294,0.13324183858007044,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,6,-0.009852740374260574,-0.9153318935311824,0.36001742064056386,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,7,-0.013738553209123889,-1.6672852540037317,0.0954576973765001,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,8,-0.010711941027211696,-1.4320376195278712,0.15213305531759785,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
x_to_y,chg_x,chg_y,9,-0.0012200792153004287,-0.17595448376580533,0.8603297011507709,9.862156577856974e-65,0.7914505549134125,35,14,9,2,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
y_to_x,chg_y,chg_x,1,-0.0009328377730409157,-0.028722681682334817,0.9770857664623729,0.07312820552527069,0.8104600841787529,34,14,10,0,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
y_to_x,chg_y,chg_x,2,-0.002669516920088884,-0.07006145968066814,0.9441447420092828,0.07312820552527069,0.8104600841787529,34,14,10,0,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
y_to_x,chg_y,chg_x,3,0.030369718587774375,0.5136968044049809,0.6074639865126942,0.07312820552527069,0.8104600841787529,34,14,10,0,10,cluster_by_day,medium,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
