k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,ticker,bar_freq
-1,y_leads_x,-0.037389155546353754,-36.75128368558105,1.1090154516491718e-295,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
1,x_leads_y,-0.037863525972215255,-57.24073612269284,0.0,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
2,x_leads_y,-0.009980180176939735,-1.1105306833810182,0.26677041370448173,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
3,x_leads_y,-1.6466355765359583e-05,-0.0024384053520911755,0.9980544359445834,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
4,x_leads_y,-0.0004829881960296545,-0.3269246432067142,0.7437248817524205,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
5,x_leads_y,0.00638158168695796,5.677046724462567,1.37040050113308e-08,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
6,x_leads_y,0.016368617615259373,3.5996923843732214,0.0003185938500272334,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
7,x_leads_y,0.008741343706582846,0.8600027689262539,0.38978751617223273,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
8,x_leads_y,-0.00672825119154045,-0.8030451445777573,0.4219486418481757,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
9,x_leads_y,-0.012547930493253562,-2.8674118382686498,0.00413844088497519,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
10,x_leads_y,-0.006228950769281687,-4.580806812913385,4.631855578356584e-06,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-3,y_leads_x,-0.0014216193524367253,-0.3777482845098334,0.7056175949175638,0.6079564709708967,25,8,3,11,medium,6.660192964620991e-41,3.48231042474109e-29,KXAAAGASM-24NOV30-US-3.30,600s
-2,y_leads_x,-0.012679724772594868,-3.0388016081020472,0.002375212148895644,0.6079564709708967,25,8,3,11,medium,6.660192964620991e-41,3.48231042474109e-29,KXAAAGASM-24NOV30-US-3.30,600s
-1,y_leads_x,-0.017831692530390214,-1.1980045759267206,0.2309152355595916,0.6079564709708967,25,8,3,11,medium,6.660192964620991e-41,3.48231042474109e-29,KXAAAGASM-24NOV30-US-3.30,600s
1,x_leads_y,-0.01985145839835116,-1.3465212340620878,0.17813447708928165,0.6079564709708967,25,8,3,11,medium,6.660192964620991e-41,3.48231042474109e-29,KXAAAGASM-24NOV30-US-3.30,600s
2,x_leads_y,-0.015339773170781128,-7.1747485178581085,7.24402202620185e-13,0.6079564709708967,25,8,3,11,medium,6.660192964620991e-41,3.48231042474109e-29,KXAAAGASM-24NOV30-US-3.30,600s
3,x_leads_y,-0.003963783850431589,-1.0090629706567062,0.3129444352943044,0.6079564709708967,25,8,3,11,medium,6.660192964620991e-41,3.48231042474109e-29,KXAAAGASM-24NOV30-US-3.30,600s
-10,y_leads_x,-0.004496258710099496,-2.446401740015854,0.014429012197606233,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-9,y_leads_x,-0.010341666592302531,-1.6701135748931704,0.09489689483729537,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-8,y_leads_x,-0.004221362732401635,-0.7288076631267506,0.4661193233672912,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-7,y_leads_x,0.011785293162740615,3.54651175801048,0.00039036732192268683,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-6,y_leads_x,0.019800717248280662,2.077145120557519,0.037788167210571565,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-5,y_leads_x,0.008850622272978685,0.7745365314189536,0.43861357361932196,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-4,y_leads_x,6.48670935248126e-05,0.008676906418950475,0.9930769172045535,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-3,y_leads_x,-0.0003665791332844448,-0.04362650902639098,0.9652021206626709,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
-2,y_leads_x,-0.010941658196050214,-1.1598167424965085,0.2461234260020898,0.859686037482186,65,3,10,42,high,0.8358359966007467,0.49128058033384314,KXECKH276,600s
