k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,ticker,bar_freq
7,x_leads_y,-0.005064147716393403,-8.305039803424116,9.97859904342501e-17,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
8,x_leads_y,-0.0035821425881341407,-7.346496098260982,2.0347016079016126e-13,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
9,x_leads_y,-0.001953751633077952,-5.976272437070126,2.283010850944809e-09,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
10,x_leads_y,-0.0009268045961725696,-4.864032801073538,1.1501784006482436e-06,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
-10,y_leads_x,-0.00043728264190000536,-4.55516764992913,5.234381441205194e-06,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-9,y_leads_x,-0.0011434204890708576,-8.213803143619296,2.1429078688996537e-16,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-8,y_leads_x,-0.0019467231027636585,-6.711451625534582,1.9269767889855092e-11,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-7,y_leads_x,-0.002755580438514402,-4.617047166650706,3.89238826034091e-06,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-6,y_leads_x,-0.0033010103374533223,-3.094270675090717,0.001972973956309725,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-5,y_leads_x,-0.0039028859726541808,-2.8994053203026215,0.0037387124089405597,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-4,y_leads_x,-0.004739843704234572,-3.749272965673392,0.0001773479682258394,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-3,y_leads_x,-0.005661510832441471,-5.034808440877598,4.783269168587193e-07,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-2,y_leads_x,-0.006886091214885643,-8.040221683321914,8.967608880208981e-16,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-1,y_leads_x,-0.007580197415032422,-15.326750543761763,5.067082335467741e-53,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
1,x_leads_y,-0.007701648225801066,-45.920789430154315,0.0,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
2,x_leads_y,-0.00726827558831737,-16.29720859675646,1.0330349194920582e-59,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
3,x_leads_y,-0.00640253937890007,-6.325836336217009,2.5186465977852014e-10,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
4,x_leads_y,-0.005341854131165821,-3.8441667588525266,0.00012096273365361622,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
5,x_leads_y,-0.0039187410615802365,-2.2228918926600363,0.026223090595335955,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
6,x_leads_y,-0.00293356212634511,-1.527543809141825,0.1266258421789243,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
7,x_leads_y,-0.0021048450375589934,-1.191130166770135,0.23360248883509926,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
8,x_leads_y,-0.0013867166417072918,-1.039987265643759,0.2983458170067641,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
9,x_leads_y,-0.0007665087875020874,-1.0262862231846857,0.304756689203311,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
10,x_leads_y,-0.0004654421798803209,-1.1423561114201926,0.2533060263892237,0.990938896335652,55,11,10,24,medium,0.0,0.0,RATECUT-24SEP18,600s
-10,y_leads_x,-0.004429682336961855,-2.576592438786562,0.009977952200125161,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-9,y_leads_x,-0.010187165882958815,-1.7618499287867297,0.07809465635685259,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-8,y_leads_x,-0.00415988141003212,-0.7690981155010026,0.4418350668414094,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-7,y_leads_x,0.0116005192239315,3.7645282596394334,0.00016686379749520134,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-6,y_leads_x,0.019489401788956653,2.200243715652028,0.0277896082348986,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-5,y_leads_x,0.008703672121168933,0.8200348146071494,0.41219626059723313,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-4,y_leads_x,5.445998672323933e-05,0.00785171157129712,0.9937353049305399,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-3,y_leads_x,-0.0003668857580169278,-0.046977510101589334,0.9625311520737589,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
-2,y_leads_x,-0.010780980572125017,-1.2289311753952064,0.21909761162509822,0.8596879986928847,67,4,10,43,high,0.0,0.0,KXECKH276,600s
