direction,cause_col,effect_col,k,coef,t_stat,p_value,p_granger,r_squared,n_obs,n_days,k_used,n_ylags,dof,cov_type,reliability_tier,x_etf,y_etf,bar_freq
x_to_y,ret_x,ret_y,10,-4.2152758277204015e-07,-0.889109868737472,0.37394403564251755,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,1,1.541003390349388e-05,8.135156366032293,4.1140699102177003e-16,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,2,-3.002548873557401e-06,-6.1932655983499,5.893030176664173e-10,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,3,-1.2042455757743306e-08,-0.023610208330057295,0.9811635293521467,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,4,-8.839663983956418e-07,-1.6294127156806686,0.10322567874372188,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,5,8.516839384049156e-07,1.2281717525461415,0.21938250017346994,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,6,-1.1015428995403594e-06,-2.0479084087051045,0.040568974789659415,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,7,2.8624193245136355e-07,0.7624403585499839,0.4457972265397686,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,8,-1.1724048017637583e-06,-1.8749006952587013,0.06080638640910189,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,9,1.0071228189879992e-06,1.0181329870996707,0.30861476070402527,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
y_to_x,ret_y,ret_x,10,-1.1168618769953767e-07,-0.22253533785852786,0.823897167205549,6.136901791252464e-125,0.1768291121561235,64625,19,10,6,64590,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,1,1.4637643955616093e-05,9.686663229646033,3.435701300310175e-22,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,2,-2.7883884833624845e-07,-0.3527875241941258,0.7242477374372711,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,3,1.979232950220268e-06,3.015171433751364,0.0025683404221962013,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,4,7.8453403235597e-08,0.20607800628181636,0.8367299784836638,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,5,1.2925274875637542e-06,2.665201604641996,0.007694218088730834,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,6,7.04945861679805e-07,1.5052029678644907,0.13227190238347303,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,7,-1.206321512546179e-07,-0.25658436693195447,0.7974996444501378,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,8,-2.322158960657654e-08,-0.03698997198216269,0.970493001468894,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,9,8.371668279862854e-07,0.6422341256805866,0.5207211785869647,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
x_to_y,ret_x,ret_y,10,8.731846288217879e-07,1.9062552621919273,0.05661709554655134,6.766691309298333e-257,0.12679672853471613,74416,19,10,2,74385,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,1,1.9517837469597796e-05,7.058759813447523,1.6799515606522367e-12,1.1744258017902416e-237,0.11496420428907028,74416,19,10,1,74386,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,2,-2.3331041774061192e-06,-3.3272324432565585,0.0008771317506783565,1.1744258017902416e-237,0.11496420428907028,74416,19,10,1,74386,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,3,2.587327064635251e-06,3.6436578007614076,0.00026879073176888055,1.1744258017902416e-237,0.11496420428907028,74416,19,10,1,74386,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,4,-3.717430984680711e-07,-1.0934663507748072,0.27418909527439483,1.1744258017902416e-237,0.11496420428907028,74416,19,10,1,74386,cluster_by_day,high,VIS,VCR,5s
y_to_x,ret_y,ret_x,5,2.4188221385271366e-06,3.7572013414154948,0.00017182424667647642,1.1744258017902416e-237,0.11496420428907028,74416,19,10,1,74386,cluster_by_day,high,VIS,VCR,5s
