k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
4,kalshi_leads_etf,-0.1457623723825181,-8.61273566458254,7.133745127738309e-18,0.010902766907571748,151,86,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,6.063683358577563e-17
5,kalshi_leads_etf,0.0219022808179684,0.5762616171997792,0.5644383624080567,0.0002614550095562107,136,78,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.8237095217300435
6,kalshi_leads_etf,0.23360159402400485,3.457058181669192,0.000546106928740659,0.02444724334199211,122,70,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.0018567635577182405
7,kalshi_leads_etf,0.0047682304108611585,0.06054360333789659,0.951722689079813,9.887448736201065e-06,109,62,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.951722689079813
8,kalshi_leads_etf,0.05210717251853878,0.6843022493874463,0.49378432687442364,0.001202237373094106,97,55,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.8237095217300435
-8,etf_leads_kalshi,-0.0693699183840193,-1.0264268567570938,0.3046904241602425,0.001791994241471584,232,123,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.5129320044256055
-7,etf_leads_kalshi,0.04276322649318017,0.9702995945479774,0.33189717933421536,0.000652229638453683,246,132,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.5129320044256055
-6,etf_leads_kalshi,0.010296743991698732,0.1278653187308523,0.8982555573478026,3.865957883708582e-05,260,139,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.8982555573478026
-5,etf_leads_kalshi,0.012992551211095597,0.20615466043379826,0.8366701028015722,5.884968626634901e-05,274,147,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.8889619842266704
-4,etf_leads_kalshi,-0.023899837289668883,-0.9795539622490282,0.3273063394758907,0.00020290326454108776,290,156,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.5129320044256055
-3,etf_leads_kalshi,0.06904713029686729,1.9827309133361362,0.04739749462156678,0.0017667393168425694,309,166,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.16115148171332705
-2,etf_leads_kalshi,-0.05289046175051497,-2.0597808258185917,0.03941949841478775,0.0011151905495134784,329,174,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.16115148171332705
-1,etf_leads_kalshi,0.03262110473488345,1.8838957041668956,0.059579084432685635,0.00046233474170220834,354,187,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.16880740589260929
0,contemp,-0.0173419307723829,-0.6505593783132648,0.5153309598436362,0.00013831886337745125,383,203,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.6257590226672726
1,kalshi_leads_etf,0.030463934583401336,0.7466634711033361,0.4552667248977841,0.0004518998886601233,354,189,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.6235922109291159
2,kalshi_leads_etf,-0.03069953670415768,-0.5086267556351042,0.6110138711638793,0.00048237230124970054,329,175,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.6924823873190632
3,kalshi_leads_etf,0.10193848310678763,3.4343746461986138,0.00059392270186397,0.005317942388807451,309,167,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.0033655619772291635
4,kalshi_leads_etf,-0.021824716796641667,-1.323273954668312,0.18574428987721237,0.0002619008644655363,290,160,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.3947066159890763
5,kalshi_leads_etf,-0.0802678195269931,-1.5305424188522578,0.12588252209093664,0.003592496203050577,274,150,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.3057146965065604
6,kalshi_leads_etf,-0.010947172843911328,-0.7113544273604361,0.4768646318869709,7.222034499343444e-05,260,142,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.6235922109291159
7,kalshi_leads_etf,-0.031268419955211194,-3.7053439960831414,0.00021110403036646007,0.0006063231099370237,246,137,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.0033655619772291635
8,kalshi_leads_etf,-0.10519950074277419,-3.498907799725407,0.00046716809448205365,0.006832205076468867,232,130,event,30s,8,391,ELECTION_trump_fav,VAW,6,0.0033655619772291635
-8,etf_leads_kalshi,0.055726508271203304,3.4086284498388677,0.0006529033912269205,0.002113208102797026,97,61,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.0022198715301715295
-7,etf_leads_kalshi,-0.08226126523235032,-5.401622131848001,6.604095152503542e-08,0.004209641291192945,109,68,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,2.806740439814005e-07
-6,etf_leads_kalshi,-0.01757276604900521,-1.1001507304397928,0.2712664534282867,0.00018464429248199465,122,75,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.46115297082808737
-5,etf_leads_kalshi,-0.014018073811475665,-0.6143859162543084,0.5389603402119256,0.00010736908759778618,135,82,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.6079564499876845
-4,etf_leads_kalshi,-0.10660220690718007,-1.1589275899323486,0.24648570172333728,0.00563986852939613,150,91,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.46115297082808737
-3,etf_leads_kalshi,-0.04154930535045208,-0.7229205428726814,0.4697287017811943,0.0008156410697548466,167,103,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.6079564499876845
-2,etf_leads_kalshi,0.024315306783913523,0.569186120950869,0.5692298384409391,0.00026800339648658245,186,115,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.6079564499876845
-1,etf_leads_kalshi,0.3012837954731088,2.438151730260037,0.014762576134989732,0.033437824227303015,210,124,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.035851970613546495
0,contemp,-0.1281661141571422,-2.6683596835140753,0.007622260934974856,0.0070408353235070775,239,135,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.021596405982428755
1,kalshi_leads_etf,0.0034349909850004017,0.06639763288484014,0.9470612547303555,5.513503145371246e-06,210,119,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.9470612547303555
2,kalshi_leads_etf,0.20622271471225512,6.931139564655594,4.174639343211278e-12,0.018080177955062116,186,106,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,2.3656289611530577e-11
3,kalshi_leads_etf,-0.1970352333003993,-8.91184384749709,5.019079000801052e-19,0.01876782062096105,167,97,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,4.2662171506808945e-18
4,kalshi_leads_etf,-0.02221985625808538,-0.6429162831594232,0.520278423074155,0.0002534259432995789,150,89,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,0.6079564499876845
5,kalshi_leads_etf,0.1952687254604258,11.776669203221807,5.148769315441926e-32,0.017873052892223185,135,82,calendar,10min,8,241,ELECTION_trump_fav,VCR,6,8.752907836251273e-31
