group,etf,mode,spec,direction,K,n_ylags,wald_chi2,wald_df,p_value,n_obs,n_days,n_members,n_active,cov_type
FOMC_easing,VOX,event,linear,kalshi->etf,10,1,7.509472627442458,10,0.6766296880861663,1002,43,4,618,hac-panel
FOMC_easing,VOX,event,linear,etf->kalshi,10,6,6.213488361429934,10,0.7970192218353405,1002,43,4,977,hac-panel
FOMC_easing,VOX,calendar,probit,kalshi->etf,10,0,33.46165406892351,10,0.00022775044551153663,532,37,4,363,hac-panel
FOMC_easing,VOX,event,probit,kalshi->etf,10,1,4.19409055384195,10,0.9381666931054039,971,42,4,611,hac-panel
FOMC_easing,VPU,calendar,linear,kalshi->etf,10,1,22.670010065676248,10,0.012032392979342905,3003,75,5,654,hac-panel
FOMC_easing,VPU,calendar,linear,etf->kalshi,10,5,11.495314989508005,10,0.3202511357513139,3003,75,5,2943,hac-panel
FOMC_easing,VPU,event,linear,kalshi->etf,10,0,29.19531562004124,10,0.0011584618672183398,1002,43,4,618,hac-panel
FOMC_easing,VPU,event,linear,etf->kalshi,10,6,14.942186774984277,10,0.13418388194210534,1002,43,4,983,hac-panel
FOMC_easing,VPU,calendar,probit,kalshi->etf,10,1,17.356864787151387,10,0.06683110751846434,541,39,4,368,hac-panel
FOMC_easing,VPU,event,probit,kalshi->etf,10,0,15.280524849844486,10,0.12216421206700499,974,43,4,613,hac-panel
GAS_above,VAW,calendar,linear,kalshi->etf,4,1,17.257764490534882,4,0.0017222648238677727,706,25,4,20,hac-panel
GAS_above,VAW,calendar,linear,etf->kalshi,4,1,2.6680421395582883,4,0.6148182959137856,706,25,4,689,hac-panel
GAS_above,VCR,calendar,linear,kalshi->etf,4,1,40.87723396677906,4,2.8498249983657398e-08,706,25,4,20,hac-panel
GAS_above,VCR,calendar,linear,etf->kalshi,4,1,4.06426945732433,4,0.3973777949296025,706,25,4,692,hac-panel
GAS_above,VDC,calendar,linear,kalshi->etf,4,2,10.816550516354397,4,0.02870496731721698,706,25,4,20,hac-panel
GAS_above,VDC,calendar,linear,etf->kalshi,4,1,3.4488960227546066,4,0.48569123864220365,706,25,4,684,hac-panel
GAS_above,VDE,calendar,linear,kalshi->etf,4,1,4.330996501878704,4,0.3630597773149966,706,25,4,20,hac-panel
GAS_above,VDE,calendar,linear,etf->kalshi,4,1,1.9496058582609086,4,0.7450273733881044,706,25,4,696,hac-panel
GAS_above,VFH,calendar,linear,kalshi->etf,4,1,3.7753727236062455,4,0.4372584905722131,706,25,4,20,hac-panel
GAS_above,VFH,calendar,linear,etf->kalshi,4,1,1.7524375004845896,4,0.7811717039878838,706,25,4,681,hac-panel
GAS_above,VGT,calendar,linear,kalshi->etf,4,1,17.1625727682578,4,0.0017972914037834855,706,25,4,20,hac-panel
GAS_above,VGT,calendar,linear,etf->kalshi,4,1,3.6201961777170277,4,0.4598390697613899,706,25,4,701,hac-panel
GAS_above,VHT,calendar,linear,kalshi->etf,4,1,8.148286845681747,4,0.08629482086587559,706,25,4,20,hac-panel
GAS_above,VHT,calendar,linear,etf->kalshi,4,1,5.589237375150909,4,0.2319960903590898,706,25,4,696,hac-panel
GAS_above,VIS,calendar,linear,kalshi->etf,4,2,12.170565936546922,4,0.016126955426970558,706,25,4,20,hac-panel
GAS_above,VIS,calendar,linear,etf->kalshi,4,1,1.447426635534198,4,0.8359115705457535,706,25,4,696,hac-panel
GAS_above,VNQ,calendar,linear,kalshi->etf,4,1,15.563710785321154,4,0.0036641177818336197,706,25,4,20,hac-panel
GAS_above,VNQ,calendar,linear,etf->kalshi,4,1,6.794898301949025,4,0.1471320911285003,706,25,4,670,hac-panel
GAS_above,VOX,calendar,linear,kalshi->etf,4,1,20.895287973377588,4,0.00033217120534451784,706,25,4,20,hac-panel
GAS_above,VOX,calendar,linear,etf->kalshi,4,1,3.3795843998361574,4,0.4964223222509382,706,25,4,689,hac-panel
