contract_ticker,etf,k,direction,coef,t_stat,p_value,r_squared,n_obs,n_kalshi_trades,w_sec,mean_w_sec,r2_daily_screen,contract_title
KXECKH276,VIS,5,kalshi_leads_etf,0.0003828639196019,2.714441468723138,0.0066387630685849,0.7054329553097809,39,136,300,223.65882015384616,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,6,kalshi_leads_etf,0.0002597527852168,2.3152879380605387,0.0205971794249942,0.7054329553097809,39,136,300,223.65882015384616,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,7,kalshi_leads_etf,0.0003540311901462,8.550666653264484,1.2237959262907964e-17,0.7054329553097809,39,136,300,223.65882015384616,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,8,kalshi_leads_etf,0.0002427947207873,4.530736933408622,5.877829293295681e-06,0.7054329553097809,39,136,300,223.65882015384616,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,9,kalshi_leads_etf,2.5785733803894416e-05,0.3582058322192066,0.7201892829669351,0.7054329553097809,39,136,300,223.65882015384616,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,10,kalshi_leads_etf,-1.413478845411539e-05,-0.2108840920462885,0.832977717695128,0.7054329553097809,39,136,300,223.65882015384616,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
RATECUT-24SEP18,VCR,-10,etf_leads_kalshi,0.0003182638233204,1.2921556436817951,0.1963032491765439,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-9,etf_leads_kalshi,0.0004250197545035,2.400825760382681,0.0163581234463069,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-8,etf_leads_kalshi,0.0008638667444329,2.8879749610337972,0.0038773073603084,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-7,etf_leads_kalshi,0.0010144888942577,1.543868834190553,0.1226201115720632,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-6,etf_leads_kalshi,0.001638237893152,2.2312919182695268,0.0256617986648041,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-5,etf_leads_kalshi,0.0024924872413819,3.8247916951620735,0.0001308827011202,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-4,etf_leads_kalshi,0.0028513496343868,3.251658258691956,0.0011473388156089,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-3,etf_leads_kalshi,0.0034234039788245,3.987524531007166,6.676630265865708e-05,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-2,etf_leads_kalshi,0.003960175778203,3.898511115449163,9.678595873154357e-05,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-1,etf_leads_kalshi,0.0038104046947313,3.4649194067127462,0.0005303904002206,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,0,contemp,0.0038596986029614,3.1845080210887287,0.0014500029233449,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,1,kalshi_leads_etf,0.0047261059805336,3.6426970999023345,0.00026979624816,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,2,kalshi_leads_etf,0.004708763481446,3.194596933298667,0.0014002625299276,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,3,kalshi_leads_etf,0.0049636068069106,3.475901730687089,0.0005091388097826,0.9138631024290824,35,103,300,198.1802832571429,0.6822090043500123,"Will the Federal Reserve cut rates before September 19, 2024?"
