k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,mean_window_sec,x_ticker,y_ticker
-9,y_leads_x,0.015590641585835258,11.992248819192868,3.901666753342522e-33,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-8,y_leads_x,0.021226599006986795,1.6861145398176005,0.09177374000814051,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-7,y_leads_x,0.013899705583731273,2.8823135499728236,0.003947666886453228,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-6,y_leads_x,0.010405807915607237,0.7144349627394764,0.47495825897819255,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-5,y_leads_x,-0.016630688206102476,-5.14498379281903,2.675439079010323e-07,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-4,y_leads_x,0.005880435574653016,1.480339416196114,0.13878268920885214,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-3,y_leads_x,0.012953257477582025,1.6339891246244502,0.10226113416786618,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-2,y_leads_x,-0.0074268893503311,-14.080324955738009,5.0178525054666376e-45,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-1,y_leads_x,-0.0024840392123754184,-25.91735830695557,4.2447181317231595e-148,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
0,contemporaneous,0.01486968793651677,9.308443910431574,1.297188123739511e-20,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
1,x_leads_y,0.02419010041923214,3.9749574712528606,7.039183371621447e-05,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
2,x_leads_y,0.03460446322400779,10.389765705877817,2.7603032835847175e-25,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
3,x_leads_y,-0.0015450350859973882,-0.3508144147468803,0.7257275822738933,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
4,x_leads_y,0.013061222986804668,3.87793466250774,0.00010534699906024048,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
5,x_leads_y,0.007181341403945499,1.6448306467226022,0.10000474025082871,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
6,x_leads_y,-0.0013293944281500322,-1.124921276646029,0.260622395031206,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
7,x_leads_y,-0.00908569564000235,-5.077474374576714,3.824850731856296e-07,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
8,x_leads_y,-0.0013813963073700001,-0.291500239578777,0.7706687606701935,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
9,x_leads_y,0.012161111889448427,4.124637295513914,3.7131944183212606e-05,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
10,x_leads_y,0.013644504707163529,2.4308196316358455,0.01506471190254159,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
-10,y_leads_x,-0.015362016701215724,-48.19230284797672,0.0,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-9,y_leads_x,0.02978496151381437,30.19138987587158,3.072725865066331e-200,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-8,y_leads_x,0.047429360843243534,8.181988507516387,2.7919768684919405e-16,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-7,y_leads_x,0.00292508439850045,0.19115274552065728,0.8484059244884085,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-6,y_leads_x,-0.014788268620582697,-0.8049034321130933,0.4208754077065042,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-5,y_leads_x,0.013356772251546682,1.16762602541562,0.24295764761367167,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-4,y_leads_x,0.041948974945608314,3.34520267475031,0.0008222246317751833,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-3,y_leads_x,0.013659212780621164,1.0677898913286838,0.28561529893338866,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-2,y_leads_x,-0.00260302052061336,-0.2577788691754224,0.7965775734341553,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-1,y_leads_x,-0.005795325021021244,-1.9741398504257148,0.048365843151985596,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
0,contemporaneous,0.0009421772938282775,0.19805048607262343,0.8430055637902957,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
1,x_leads_y,-0.013658990178400172,-2.365595017285111,0.01800112345486164,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
2,x_leads_y,-0.013036475447937929,-1.8645259761384576,0.062247877207412636,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
3,x_leads_y,-0.009202500799090163,-0.832483071764898,0.40513632941522815,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
4,x_leads_y,-0.000570094673025144,-0.0649222851637822,0.9482358770279232,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
5,x_leads_y,-0.005975703667796431,-0.6924152681989239,0.4886765801848383,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
6,x_leads_y,0.0005669670107400337,0.06879787440485885,0.9451505100599152,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
7,x_leads_y,0.01679866405742972,5.430060554174823,5.633493370505506e-08,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
8,x_leads_y,-0.011634303633666526,-7.886042026554804,3.1192160107409113e-15,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
9,x_leads_y,0.003446267150491495,0.6233296485091157,0.5330679183584259,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
10,x_leads_y,-0.0027536585564919306,-0.674645093589121,0.49990127619044744,0.276903837010984,76,2,,KXECDJT281,KXECDJT316
-10,y_leads_x,0.010682260153955094,0.5759725686826184,0.564633723137874,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-9,y_leads_x,-0.013227090166936167,-0.6319424659856596,0.5274244729791373,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-8,y_leads_x,-0.01104769301073397,-1.7182514374400717,0.08575076299823724,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-7,y_leads_x,0.00355688275681348,0.26582106168807285,0.790377021728743,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-6,y_leads_x,0.0018117511810742737,0.09096498020810173,0.9275204173995174,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-5,y_leads_x,-0.004135131718131685,-0.41384408995405064,0.6789882920830737,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-4,y_leads_x,-0.014045130224300874,-7.49700296756977,6.529350149059608e-14,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-3,y_leads_x,-0.0025183341995721822,-0.7357949195117454,0.4618555135375285,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-2,y_leads_x,0.064294434970847,4.923621469800863,8.495709989364629e-07,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
-1,y_leads_x,0.032777632232286844,3.0961392635854925,0.0019605825696906837,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
0,contemporaneous,0.006071876501312242,1.702574192119939,0.088647783180565,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
1,x_leads_y,0.004614188921158636,1.6074004488821065,0.1079665516876458,0.7769231043130596,63,2,,KXECDJT306,KXECDJT312
