contract_ticker,etf,direction,horizon_sec,n_events,coef,t_stat,p_value,r_squared,r2_daily_screen,contract_title
538APPROVEMAX-24SEP30-T43,VAW,etf_leads_kalshi,60,21,-19.237954843727042,-0.8815503799258362,0.3890362251955696,0.039294428979842144,0.4350143803811237,"Will the President's approval rating ever get above 43% by Sep 30, 2024?"
538APPROVEMAX-24SEP30-T43,VAW,kalshi_leads_etf,120,21,0.0035825485638730885,1.1852009926167753,0.25055070933901646,0.06884204604869104,0.4350143803811237,"Will the President's approval rating ever get above 43% by Sep 30, 2024?"
538APPROVEMAX-24SEP30-T43,VAW,etf_leads_kalshi,120,21,-17.405270332338812,-1.216986818589354,0.23851031449488588,0.07231350035546091,0.4350143803811237,"Will the President's approval rating ever get above 43% by Sep 30, 2024?"
538APPROVEMAX-24SEP30-T43,VAW,kalshi_leads_etf,300,21,0.007397861665791903,0.9577494091399177,0.3502184491245348,0.04605466959747573,0.4350143803811237,"Will the President's approval rating ever get above 43% by Sep 30, 2024?"
538APPROVEMAX-24SEP30-T43,VAW,etf_leads_kalshi,300,21,-1.491337956863975,-0.19772436203104307,0.8453607495618104,0.0020534024068893375,0.4350143803811237,"Will the President's approval rating ever get above 43% by Sep 30, 2024?"
KXECDJT281,VNQ,kalshi_leads_etf,5,287,2.9920474962893497e-05,0.1764097202771183,0.8600973579934718,0.00010918242669699652,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,etf_leads_kalshi,5,287,7.500848953208223,0.4440834986162205,0.6573192095924743,0.0006914869666394541,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,kalshi_leads_etf,10,287,-0.00013416497365085518,-0.5003067657924188,0.6172451894255122,0.0008774990030795404,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,etf_leads_kalshi,10,287,5.214635077962594,0.42780907424846165,0.6691132117405072,0.0006417654305704845,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,kalshi_leads_etf,30,287,-9.848033774184932e-05,-0.2236228761177421,0.8232109706442929,0.0001754330449454944,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,etf_leads_kalshi,30,287,-4.60835004064608,-0.5603764456730085,0.5756629229718299,0.0011006180450827685,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,kalshi_leads_etf,60,287,-0.0005142725891336982,-0.9091736947957462,0.3640266498457685,0.0028919520315522362,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,etf_leads_kalshi,60,287,-7.004124769228269,-1.0922713245832976,0.2756363166653092,0.0041687127580477545,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,kalshi_leads_etf,120,287,-0.00014193998808918843,-0.160026771027852,0.8729733441828369,8.984654948829274e-05,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,etf_leads_kalshi,120,287,-4.2957822365753655,-1.0179120729149544,0.3095830648283131,0.003622426767878717,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,kalshi_leads_etf,300,287,0.0016522184645855716,1.3951079009684284,0.1640695162527291,0.006782892403958463,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
KXECDJT281,VNQ,etf_leads_kalshi,300,287,-1.3054427795126902,-0.40473744911065973,0.6859741115401392,0.000574450177715069,0.4303337624527567,"Will Trump win 281-257 - AZ, GA, NC, PA?"
FEDDECISION-24SEP-C25,VOX,kalshi_leads_etf,5,1051,-9.05007779591739e-05,-0.6539465876895745,0.5132895455707618,0.0004075041677471525,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,etf_leads_kalshi,5,1051,-0.44948399579689546,-0.05399629316348963,0.956948398858555,2.7794009264114905e-06,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,kalshi_leads_etf,10,1051,-8.279691985612229e-05,-0.4425208840283014,0.6582035480994528,0.00018664269165480363,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,etf_leads_kalshi,10,1051,0.41661235956768183,0.08370286717419949,0.9333086474245895,6.678859084785493e-06,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,kalshi_leads_etf,30,1048,-0.0006112371039872122,-2.053587180198363,0.04026386038831377,0.004015569565164578,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VOX,etf_leads_kalshi,30,1051,1.696790001452832,0.6422307455086236,0.5208636974639012,0.0003930392920498127,0.4259019059689291,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
