Date,BTC-USD,COIN,CXW,DJT,FXI,GEO,HOOD,ICLN,MSTR,RGR,TAN,XLF
2024-05-01,58254.01171875,210.08999633789062,14.84000015258789,45.130001068115234,24.419635772705078,14.739999771118164,16.649999618530273,12.765787124633789,102.8270034790039,44.95564651489258,40.101741790771484,39.000144958496094
2024-05-02,59123.43359375,228.85000610351562,15.289999961853027,48.68000030517578,25.81748390197754,14.979999542236328,17.610000610351562,13.025920867919922,112.94200134277344,45.34278106689453,41.285888671875,39.096771240234375
2024-05-03,62889.8359375,223.25,15.260000228881836,47.93000030517578,25.9886531829834,14.649999618530273,17.950000762939453,13.343860626220703,122.3010025024414,45.4105339050293,42.69890213012695,39.18374252319336
2024-05-04,63891.47265625,,,,,,,,,,,
2024-05-05,64031.1328125,,,,,,,,,,,
2024-05-06,63161.94921875,226.92999267578125,15.289999961853027,49.18000030517578,25.969633102416992,14.430000305175781,17.780000686645508,13.401667594909668,126.88099670410156,44.7911262512207,43.0372314453125,39.686222076416016
2024-05-07,62334.81640625,214.33999633789062,15.3100004196167,47.66999816894531,25.59877586364746,13.630000114440918,17.989999771118164,13.449841499328613,125.74500274658203,44.839515686035156,42.848167419433594,39.82150650024414
2024-05-08,61187.94140625,211.1999969482422,15.359999656677246,49.2599983215332,25.50368309020996,13.600000381469727,17.850000381469727,13.343860626220703,123.31199645996094,41.71342849731445,42.271018981933594,39.966453552246094
2024-05-09,63049.9609375,210.4499969482422,15.489999771118164,54.38999938964844,26.055213928222656,13.630000114440918,17.299999237060547,13.440206527709961,126.36399841308594,41.67471694946289,42.98747634887695,40.26599884033203
2024-05-10,60792.77734375,200.9199981689453,15.5600004196167,50.9900016784668,26.407058715820312,13.479999542236328,16.229999542236328,13.334226608276367,118.0479965209961,42.1779899597168,41.853084564208984,40.420616149902344
2024-05-11,60793.7109375,,,,,,,,,,,
2024-05-12,61448.39453125,,,,,,,,,,,
2024-05-13,62901.44921875,199.50999450683594,15.229999542236328,51.650001525878906,26.968101501464844,13.079999923706055,16.889999389648438,13.37276554107666,124.59600067138672,41.606964111328125,42.559593200683594,40.256343841552734
2024-05-14,61552.7890625,203.0500030517578,15.149999618530273,53.400001525878906,26.635278701782227,13.119999885559082,18.020000457763672,13.594359397888184,129.76300048828125,41.73278045654297,43.55467224121094,40.45927047729492
2024-05-15,66267.4921875,219.91000366210938,14.899999618530273,52.5099983215332,26.9395751953125,12.710000038146973,18.520000457763672,13.767782211303711,150.3470001220703,41.68439483642578,43.514869689941406,40.758819580078125
2024-05-16,65231.58203125,199.1699981689453,15.109999656677246,52.150001525878906,27.728836059570312,13.229999542236328,17.899999618530273,13.729243278503418,143.9980010986328,41.70375061035156,43.11684036254883,40.758819580078125
2024-05-17,67051.875,207.60000610351562,15.029999732971191,50.915000915527344,27.890493392944336,13.420000076293945,20.09000015258789,13.642532348632812,158.4499969482422,41.820316314697266,42.4003791809082,41.05838394165039
2024-05-18,66940.8046875,,,,,,,,,,,
2024-05-19,66278.3671875,,,,,,,,,,,
2024-05-20,71448.1953125,225.19000244140625,15.100000381469727,48.380001068115234,27.586200714111328,13.579999923706055,20.84000015258789,13.63289737701416,172.7239990234375,41.1985969543457,42.06205368041992,40.4979248046875
2024-05-21,70136.53125,225.77999877929688,15.539999961853027,44.189998626708984,27.158283233642578,13.84000015258789,20.959999084472656,13.748513221740723,165.54200744628906,41.68431854248047,42.69890213012695,40.758819580078125
2024-05-22,69122.3359375,231.50999450683594,15.640000343322754,44.59000015258789,26.815956115722656,14.199999809265137,19.65999984741211,14.24950885772705,164.6999969482422,42.04375076293945,46.52996063232422,40.52690887451172
2024-05-23,67929.5625,218.86000061035156,15.359999656677246,43.90999984741211,26.273927688598633,13.890000343322754,19.239999771118164,14.037549018859863,154.40699768066406,42.082611083984375,44.917930603027344,39.966453552246094
2024-05-24,68526.1015625,237.64999389648438,15.539999961853027,45.810001373291016,26.226383209228516,13.920000076293945,20.510000228881836,14.37475872039795,168.48399353027344,42.30604553222656,47.26632308959961,40.208030700683594
2024-05-25,69265.9453125,,,,,,,,,,,
2024-05-26,68518.09375,,,,,,,,,,,
2024-05-27,69394.5546875,,,,,,,,,,,
2024-05-28,68296.21875,245.0,15.170000076293945,49.93000030517578,26.207361221313477,13.899999618530273,20.469999313354492,14.528911590576172,167.53500366210938,41.8008918762207,47.3857307434082,39.76353073120117
2024-05-29,67578.09375,236.64999389648438,15.0600004196167,51.119998931884766,25.78896141052246,13.680000305175781,21.084999084472656,14.288045883178711,161.8699951171875,41.65517807006836,47.36582946777344,39.444644927978516
2024-05-30,68364.9921875,234.75999450683594,15.600000381469727,51.84000015258789,25.81748390197754,14.140000343322754,21.84000015258789,14.490371704101562,154.10000610351562,42.13117599487305,48.758941650390625,39.65723419189453
2024-05-31,67491.4140625,225.9199981689453,16.049999237060547,49.09000015258789,25.323007583618164,14.539999961853027,20.899999618530273,14.422931671142578,152.44900512695312,43.170616149902344,48.042484283447266,40.23701858520508
2024-06-01,67706.9375,,,,,,,,,,,
2024-06-02,67751.6015625,,,,,,,,,,,
2024-06-03,68804.78125,231.38999938964844,16.43000030517578,46.7400016784668,25.44662857055664,14.970000267028809,21.280000686645508,14.528911590576172,162.74099731445312,43.08318328857422,47.89322280883789,39.985782623291016
2024-06-04,70567.765625,244.1999969482422,16.3700008392334,45.4900016784668,25.64632225036621,15.09000015258789,20.780000686645508,14.394026756286621,163.8769989013672,41.898033142089844,47.17676544189453,39.80217361450195
2024-06-05,71082.8203125,251.39999389648438,15.800000190734863,46.75,25.865032196044922,14.229999542236328,21.56999969482422,14.509641647338867,169.468994140625,41.868892669677734,48.291255950927734,39.91814041137695
2024-06-06,70757.1640625,257.0799865722656,15.579999923706055,46.02000045776367,25.855525970458984,13.930000305175781,22.969999313354492,14.365123748779297,165.66299438476562,41.61631774902344,47.27627182006836,39.89881134033203
2024-06-07,69342.5859375,244.16000366210938,15.420000076293945,44.59000015258789,25.19938850402832,13.789999961853027,22.18000030517578,13.99901008605957,159.6199951171875,41.8008918762207,45.71399688720703,40.08240509033203
2024-06-08,69305.7734375,,,,,,,,,,,
2024-06-09,69647.9921875,,,,,,,,,,,
2024-06-10,69512.28125,249.80999755859375,14.789999961853027,42.09000015258789,25.437118530273438,13.680000305175781,23.420000076293945,14.239873886108398,159.99200439453125,41.626033782958984,47.02750015258789,39.92780303955078
2024-06-11,67332.03125,244.1999969482422,11.859999656677246,39.310001373291016,25.251096725463867,13.4399995803833,23.219999313354492,14.284482955932617,155.5489959716797,41.868892669677734,47.59469985961914,39.473636627197266
2024-06-12,68241.1875,254.9600067138672,11.40999984741211,40.93000030517578,25.19386100769043,12.800000190734863,23.700000762939453,14.420248985290527,160.36700439453125,41.713462829589844,48.05243682861328,39.43498611450195
2024-06-13,66756.3984375,247.63999938964844,11.739999771118164,39.93000030517578,25.174781799316406,13.109999656677246,23.309999465942383,14.226297378540039,148.38800048828125,41.40260314941406,46.88819122314453,39.40599060058594
2024-06-14,66011.09375,244.5,11.609999656677246,37.04999923706055,24.96491241455078,13.050000190734863,22.420000076293945,13.906279563903809,149.5540008544922,41.11117172241211,45.574684143066406,39.280372619628906
2024-06-15,66191.0,,,,,,,,,,,
2024-06-16,66639.046875,,,,,,,,,,,
2024-06-17,66490.296875,245.10000610351562,11.550000190734863,34.720001220703125,25.27971649169922,13.100000381469727,22.25,13.692933082580566,150.7259979248047,41.509456634521484,44.70896530151367,39.62824249267578
2024-06-18,65140.74609375,235.9499969482422,11.3100004196167,31.309999465942383,25.33695411682129,12.850000381469727,21.860000610351562,13.712327003479004,146.9429931640625,41.25688934326172,44.88808059692383,39.87948226928711
2024-06-19,64960.296875,,,,,,,,,,,
2024-06-20,64828.65625,235.02999877929688,11.329999923706055,26.75,25.642215728759766,12.670000076293945,21.729999542236328,13.528074264526367,146.5399932861328,41.324886322021484,43.55467224121094,40.09206771850586
2024-06-21,64096.19921875,225.86000061035156,11.369999885559082,27.65999984741211,25.20340347290039,12.5600004196167,22.290000915527344,13.489283561706543,148.37600708007812,39.65401840209961,43.017330169677734,39.93746566772461
2024-06-22,64252.578125,,,,,,,,,,,
2024-06-23,63180.796875,,,,,,,,,,,
2024-06-24,60277.4140625,212.30999755859375,11.4399995803833,33.52000045776367,25.489585876464844,12.84000015258789,21.3700008392334,13.62505054473877,137.21499633789062,40.85859680175781,42.7486572265625,40.347835540771484
2024-06-25,61804.640625,221.7100067138672,12.199999809265137,36.369998931884766,25.289257049560547,13.329999923706055,22.139999389648438,13.37291431427002,149.57400512695312,40.55744934082031,41.44510269165039,40.04708480834961
2024-06-26,60811.27734375,214.5800018310547,12.050000190734863,39.25,25.298797607421875,13.260000228881836,22.309999465942383,13.295332908630371,145.7729949951172,40.139732360839844,41.04706954956055,39.794857025146484
2024-06-27,61604.80078125,224.0,12.239999771118164,36.72999954223633,24.697805404663086,13.510000228881836,22.59000015258789,13.353519439697266,152.5399932861328,40.654598236083984,41.853084564208984,39.74634552001953
2024-06-28,60320.13671875,222.22999572753906,12.979999542236328,32.75,24.793201446533203,14.359999656677246,22.709999084472656,12.917128562927246,137.7480010986328,40.460304260253906,40.012184143066406,39.882164001464844
2024-06-29,60887.37890625,,,,,,,,,,,
2024-06-30,62678.29296875,,,,,,,,,,,
2024-07-01,62851.98046875,233.3699951171875,13.539999961853027,33.08000183105469,24.879056930541992,15.029999732971191,22.790000915527344,12.907432556152344,136.5970001220703,40.23687744140625,39.046958923339844,39.969478607177734
2024-07-02,62029.015625,227.50999450683594,13.5600004196167,31.729999542236328,25.212942123413086,15.289999961853027,22.459999084472656,12.8589448928833,132.0189971923828,40.091163635253906,38.78823471069336,40.43514633178711
2024-07-03,60173.921875,224.94000244140625,13.300000190734863,31.100000381469727,25.661296844482422,14.989999771118164,22.889999389648438,13.178961753845215,130.20899963378906,40.120304107666016,40.3405647277832,40.309024810791016
2024-07-04,56977.703125,,,,,,,,,,,
2024-07-05,56662.375,223.67999267578125,13.25,29.170000076293945,25.22247886657715,14.829999923706055,22.68000030517578,13.198357582092285,128.1719970703125,39.994022369384766,39.813167572021484,40.29932403564453
2024-07-06,58303.5390625,,,,,,,,,,,
2024-07-07,55849.109375,,,,,,,,,,,
2024-07-08,56705.09765625,220.55999755859375,13.279999732971191,30.31999969482422,25.02215003967285,15.0600004196167,22.09000015258789,13.285635948181152,129.05799865722656,39.91630554199219,40.251007080078125,40.192604064941406
2024-07-09,58009.2265625,219.97000122070312,13.220000267028809,29.899999618530273,25.27971649169922,14.970000267028809,22.600000381469727,13.285635948181152,130.177001953125,39.73173522949219,40.52962875366211,40.503055572509766
2024-07-10,57742.49609375,219.55999755859375,13.149999618530273,28.799999237060547,25.165241241455078,15.109999656677246,22.31999969482422,13.440796852111816,130.57200622558594,39.95516586303711,41.186378479003906,40.65827560424805
2024-07-11,57344.9140625,214.6300048828125,13.210000038146973,29.860000610351562,25.6994571685791,15.569999694824219,22.040000915527344,13.809304237365723,135.8560028076172,40.81002426147461,43.057132720947266,40.978416442871094
2024-07-12,57899.46484375,218.02000427246094,13.34000015258789,30.889999389648438,25.966562271118164,15.9399995803833,22.280000686645508,13.974162101745605,139.67599487304688,40.178592681884766,44.28108215332031,41.11423873901367
2024-07-13,59231.953125,,,,,,,,,,,
