k_lag,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,n_members_used,n_params,n_active,n_ylags,group,etf,mode,K_chosen,n_active_events,n_members,p_fdr
5,kalshi_leads_etf,-0.00015870743161218418,-3.981501978079809,6.848115111780853e-05,0.5099106049707294,65,2,4,21,44,0,ELECTION_trump_fav,VIS,event,8,289,6,0.00029104489225068627
6,kalshi_leads_etf,-0.00021950117610092075,-6.436310496519106,1.2241249746497237e-10,0.5099106049707294,65,2,4,21,44,0,ELECTION_trump_fav,VIS,event,8,289,6,1.0405062284522652e-09
7,kalshi_leads_etf,9.062819952290774e-05,0.9964546930236426,0.31902927023076955,0.5099106049707294,65,2,4,21,44,0,ELECTION_trump_fav,VIS,event,8,289,6,0.49304523581118925
8,kalshi_leads_etf,2.86227954652458e-05,3.8296517358001227,0.00012832473840394218,0.5099106049707294,65,2,4,21,44,0,ELECTION_trump_fav,VIS,event,8,289,6,0.0004363041105734034
-8,etf_leads_kalshi,8.05994345481895e-05,2.0528895645206933,0.040083289339580955,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.13628318375457524
-7,etf_leads_kalshi,3.618817970288598e-05,0.2402791655352787,0.8101138454573558,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.8101138454573558
-6,etf_leads_kalshi,0.000129282596878575,0.7114104347695194,0.4768299346466992,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.6755090740828238
-5,etf_leads_kalshi,3.909928432879207e-05,0.4744432516191399,0.6351838563608448,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.731137387906414
-4,etf_leads_kalshi,-6.826405217811912e-05,-2.2224084098315746,0.02625571751282428,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.1115867994295032
-3,etf_leads_kalshi,-6.903669548344024e-05,-1.5559671707994966,0.11971589908495894,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.2890440608827312
-2,etf_leads_kalshi,-0.00014399492807774323,-1.4907744020731561,0.13602073453304997,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.2890440608827312
-1,etf_leads_kalshi,0.00027313982142837095,1.1806295015735857,0.23774993859938265,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.44908321735438944
0,contemp,-5.1882576277842564e-06,-1.494811488621821,0.13496364715112263,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.2890440608827312
1,kalshi_leads_etf,0.00011437427317378156,0.6120005696640556,0.5405373806616689,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.7068565747114133
2,kalshi_leads_etf,0.00018030882744113572,2.349019298778205,0.018822931181199876,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.10666327669346595
3,kalshi_leads_etf,0.00010056611948965757,0.7335532358839534,0.46322107101526455,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.6755090740828238
4,kalshi_leads_etf,0.0004176213540719068,4.41694769936035,1.0010443932405392e-05,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,8.508877342544584e-05
5,kalshi_leads_etf,0.00030315415768791457,0.7495124349831692,0.45354840659271034,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.6755090740828238
6,kalshi_leads_etf,5.4804326366611503e-05,0.46055037139486693,0.6451212246233065,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.731137387906414
7,kalshi_leads_etf,3.989335139624413e-05,0.3502503150672117,0.7261508492542502,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,0.7715352773326408
8,kalshi_leads_etf,-2.2120617449331788e-05,-4.951982087176838,7.346136789779259e-07,0.411130668032733,65,2,4,21,44,0,ELECTION_trump_fav,VNQ,event,8,289,6,1.248843254262474e-05
-8,etf_leads_kalshi,7.108739538451672e-05,0.9297100899417676,0.3525212088742542,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.5641801701583116
-7,etf_leads_kalshi,1.9232710140759026e-06,0.016642105994541145,0.9867221334761768,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.9894070624301717
-6,etf_leads_kalshi,1.5756571403485938e-06,0.013276668447878866,0.9894070624301717,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.9894070624301717
-5,etf_leads_kalshi,2.8567662082046207e-05,0.2943547556986325,0.7684868358743453,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.8709517473242581
-4,etf_leads_kalshi,-4.602397035262948e-06,-0.9057697087523918,0.36505775716126043,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.5641801701583116
-3,etf_leads_kalshi,6.931436157512948e-05,2.942138007905366,0.003259546263878855,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.013853071621485134
-2,etf_leads_kalshi,5.525729623138148e-06,1.1662536624288882,0.24351190197478456,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.5174627916964172
-1,etf_leads_kalshi,0.0002990083210974863,3.231823834133986,0.0012300286210258325,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.00697016218581305
0,contemp,0.00020843312838722647,6.946294049799718,3.750067203396113e-12,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,3.187557122886696e-11
1,kalshi_leads_etf,4.8756852208443156e-05,0.3058253334002815,0.7597376387619286,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.8709517473242581
2,kalshi_leads_etf,0.00042972843691261133,2.352428969552437,0.01865125159291148,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.05879428941526076
3,kalshi_leads_etf,0.00023327951664385048,1.3770070295548862,0.16851007450517508,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.4092387523697109
4,kalshi_leads_etf,5.7230691404842714e-05,0.6294823370635277,0.5290333286851897,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.691812814434479
5,kalshi_leads_etf,0.00014604534812792398,1.0473244323144801,0.2949499712855361,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.557127723539346
6,kalshi_leads_etf,0.00018713225427155372,2.312485823254562,0.020750925675974388,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.05879428941526076
7,kalshi_leads_etf,0.00024616315914619035,6.957263248773303,3.469463018443127e-12,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,3.187557122886696e-11
8,kalshi_leads_etf,8.217290085809934e-06,0.752072388775682,0.45200752746779926,0.5500771403370575,65,2,4,21,44,0,ELECTION_trump_fav,VOX,event,8,289,6,0.640343997246049
-10,etf_leads_kalshi,-4.2146136979144884e-05,-0.7176151066100578,0.47299464045790707,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-9,etf_leads_kalshi,-6.850621308665571e-05,-1.0921257117141194,0.27477784946856854,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-8,etf_leads_kalshi,-3.53706984151858e-05,-0.6669781025002345,0.5047861206398627,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-7,etf_leads_kalshi,-4.4356715002101085e-05,-0.7885005924485171,0.43040395217467553,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-6,etf_leads_kalshi,4.506221169968509e-05,0.786900014873193,0.43134039882232145,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-5,etf_leads_kalshi,-6.588247082827451e-05,-1.4699680630470604,0.14157040386693176,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-4,etf_leads_kalshi,5.5078634575548504e-05,1.12663929728875,0.2598950171158628,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-3,etf_leads_kalshi,5.616607544587582e-05,0.5894358116667863,0.5555689592001332,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-2,etf_leads_kalshi,8.689903135218748e-05,2.011301547973173,0.04429361510317133,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
-1,etf_leads_kalshi,-9.165061688986186e-05,-1.28252910939337,0.19965710025751982,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
0,contemp,-3.225375338423489e-05,-0.4373963088638612,0.6618239605626599,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.7078000501193387
1,kalshi_leads_etf,1.474058377043027e-05,0.42053415211009015,0.6740952858279415,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.7078000501193387
2,kalshi_leads_etf,9.374442237527372e-06,0.25441983551180475,0.7991712284953686,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.7991712284953686
3,kalshi_leads_etf,-3.361361232787922e-05,-0.8672254064609372,0.38581851827356606,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
4,kalshi_leads_etf,1.830106341739964e-05,0.6787833610677759,0.4972751379836198,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
5,kalshi_leads_etf,-2.9261447031803108e-05,-0.8354142157824187,0.4034845284865739,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
6,kalshi_leads_etf,-3.824682352458588e-05,-1.1701537849686312,0.24193908717286716,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
7,kalshi_leads_etf,-1.79660549183847e-05,-0.5451518885490068,0.5856490578672402,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
8,kalshi_leads_etf,-2.29930937197295e-05,-0.970090525093165,0.33200137139524,0.04993961430230287,566,26,3,25,343,1,FOMC_easing,VCR,event,10,1905,5,0.683257234178447
