k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
-2,etf_leads_kalshi,0.03903898086170926,1.3696473962710662,0.1707969967965164,0.0007355472781209738,224,139,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.2419624121283982
-1,etf_leads_kalshi,0.131001133612584,4.080403857648388,4.495752165714008e-05,0.008524546969292834,249,147,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.00013561810943772432
0,contemp,-0.09893297364145075,-2.0270898062685547,0.04265322917979721,0.004279436012796012,285,164,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.0761241966150445
1,kalshi_leads_etf,0.034443062808821485,0.9530146482370134,0.3405826489357042,0.0005589108686103739,249,144,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.41356464513621227
2,kalshi_leads_etf,0.09941683122992587,1.0277531439713257,0.3040659621682378,0.004579780468664474,224,130,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.3976247197584648
3,kalshi_leads_etf,-0.10745495852977499,-2.006725125396712,0.0447789391853203,0.006017579938603523,204,120,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.0761241966150445
4,kalshi_leads_etf,-0.07480652064615946,-3.1770768911841216,0.0014876758797572756,0.0029111316174633695,186,109,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.0036129271365533838
5,kalshi_leads_etf,0.19029131711675787,2.4180526947483054,0.015603816964720928,0.016975413550631924,170,100,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.03315811105003197
6,kalshi_leads_etf,-0.06763178758224525,-5.315492510631941,1.0636922502133906e-07,0.002367405970745473,156,92,event,event(active),8,289,ELECTION_trump_fav,VCR,6,6.02758941787588e-07
7,kalshi_leads_etf,0.05208545470475192,1.4404371891650753,0.14974374847076632,0.001131194082319431,142,84,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.23142215672754796
8,kalshi_leads_etf,-0.02500447947532563,-0.7378183618560588,0.4606248336775519,0.000285546653854829,130,78,event,event(active),8,289,ELECTION_trump_fav,VCR,6,0.5220414781678921
-8,etf_leads_kalshi,0.0929047325098821,2.959368927630704,0.0030826980739605283,0.006204986308328775,101,55,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.01746862241910966
-7,etf_leads_kalshi,-0.004556715994986032,-0.07656555672966212,0.9389691602374151,1.4176444486091455e-05,113,60,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.9389691602374151
-6,etf_leads_kalshi,-0.12901484263499563,-2.456897770930127,0.0140142560124822,0.01024466463536633,125,66,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.04764847044243948
-5,etf_leads_kalshi,-0.030233988791018757,-0.5082873884362072,0.6112518131886254,0.0005420194007971224,140,74,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.799329294169741
-4,etf_leads_kalshi,0.013822303151291153,0.3112271759371849,0.7556279248090012,0.00010560415004212675,155,83,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.9009673586765274
-3,etf_leads_kalshi,-0.06664740816044598,-3.1315147024112573,0.0017390707824511892,0.0022338511991411014,173,96,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.014782101650835109
-2,etf_leads_kalshi,0.04357788120742013,1.2733707232647116,0.20288652118623374,0.0009036115783483956,193,108,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.2874225716804978
-1,etf_leads_kalshi,0.14345947058029643,4.747711541227609,2.0573116734087502e-06,0.010360937658136615,218,121,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,3.4974298447948756e-05
0,contemp,0.05433080480987115,1.6827518755626543,0.09242313475420215,0.0013540197285506483,253,135,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.17457703231349295
1,kalshi_leads_etf,-0.09601074138931705,-2.779391493125545,0.005446084492000234,0.0042838411435269785,218,116,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.023145859091000996
2,kalshi_leads_etf,-0.006936515345144913,-0.2598607364228846,0.7949711988322301,2.360303405923858e-05,193,105,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.9009673586765274
3,kalshi_leads_etf,-0.13836919801590541,-2.2489385900456322,0.024516403380933645,0.00936459333118922,173,96,calendar,10min,8,261,ELECTION_trump_fav,VDC,6,0.06946314291264533
