date,VAW,VCR,VDC,VDE,VFH,VGT,VHT,VIS,VNQ,VOX,VPU,MARA,COIN,GEO,IBKR,FSLR,RUN,DHI,TAN,prob
2024-03-12,190.80950927734375,305.5072937011719,191.05657958984375,114.98524475097656,95.0375747680664,65.38065338134766,258.72418212890625,229.43106079101562,79.07625579833984,125.42462158203125,128.0399932861328,20.190000534057617,256.1400146484375,11.859999656677246,26.933744430541992,159.3800048828125,10.704999923706055,150.97499084472656,44.400489807128906,0.515
2024-03-13,192.17478942871094,305.5955810546875,191.6331787109375,116.74726104736328,95.52519989013672,64.6885986328125,257.7912292480469,230.12149047851562,78.67688751220703,125.52198028564453,128.83953857421875,19.700000762939453,251.72999572753906,12.300000190734863,26.775745391845703,158.0399932861328,9.970000267028809,151.5413055419922,43.654178619384766,0.515
2024-03-14,190.68450927734375,303.65447998046875,190.07350158691406,117.9435806274414,94.74117279052734,64.4455795288086,256.5119934082031,228.90594482421875,77.49691772460938,125.23958587646484,127.90052032470703,18.229999542236328,233.6699981689453,12.479999542236328,26.620214462280273,149.38999938964844,9.510000228881836,146.7763671875,42.479984283447266,0.515
2024-03-15,190.99217224121094,300.6154479980469,190.00730895996094,118.32379150390625,94.70292663574219,63.599334716796875,255.6848907470703,229.00318908691406,77.324462890625,124.07105255126953,127.94701385498047,19.31999969482422,242.36000061035156,13.149999618530273,26.523935317993164,147.4199981689453,9.890000343322754,148.1140594482422,42.34067153930664,0.515
2024-03-18,191.03067016601562,302.15460205078125,191.2078399658203,118.71329498291016,94.98018646240234,63.897865295410156,255.48292541503906,229.26573181152344,77.36077117919922,126.30101776123047,128.3188934326172,19.40999984741211,239.6199951171875,12.869999885559082,26.647371292114258,149.47999572753906,10.260000228881836,147.93829345703125,42.58944320678711,0.515
2024-03-19,191.48252868652344,304.8014831542969,191.8978729248047,120.10435485839844,95.46782684326172,64.16802215576172,257.34881591796875,231.39541625976562,77.33353424072266,126.28153991699219,129.51820373535156,19.31999969482422,230.1199951171875,13.09000015258789,26.53134536743164,147.47999572753906,10.390000343322754,152.41033935546875,42.83821487426758,0.515
2024-03-20,193.6457977294922,309.76190185546875,192.75804138183594,120.07654571533203,96.80638122558594,65.0377197265625,257.05059814453125,234.30307006835938,77.84183502197266,127.9272689819336,129.8808135986328,22.43000030517578,256.8800048828125,14.0600004196167,26.859682083129883,151.02000427246094,11.479999542236328,154.84164428710938,43.87309646606445,0.515
2024-03-21,194.62646484375,311.7127380371094,192.85255432128906,120.6700439453125,97.77204895019531,65.22028350830078,257.3872375488281,237.0161895751953,78.40458679199219,127.82991027832031,129.76922607421875,21.780000686645508,262.0,14.739999771118164,27.143587112426758,152.67999267578125,11.760000228881836,157.59515380859375,44.17162322998047,0.515
2024-03-22,193.3646697998047,309.4720764160156,192.06658935546875,120.42342376708984,96.45703887939453,65.32403564453125,256.778564453125,236.0110321044922,77.41777038574219,128.1344451904297,129.93418884277344,20.8700008392334,255.50999450683594,14.619999885559082,26.778213500976562,153.30999755859375,11.350000381469727,158.0052490234375,43.813392639160156,0.515
2024-03-25,193.51901245117188,308.60772705078125,191.40208435058594,121.45108032226562,96.45703887939453,65.06065368652344,256.3250732421875,234.5096435546875,76.94174194335938,127.91969299316406,130.64634704589844,20.950000762939453,279.7099914550781,14.569999694824219,26.938682556152344,154.77000427246094,10.890000343322754,156.0133514404297,43.23624801635742,0.495
2024-03-26,193.5575714111328,308.6273193359375,191.62991333007812,120.53553771972656,96.54342651367188,64.77500915527344,257.4924011230469,234.15866088867188,76.6304931640625,127.66588592529297,129.0720977783203,20.3799991607666,266.80999755859375,14.520000457763672,27.215179443359375,153.16000366210938,11.279999732971191,155.51535034179688,42.8083610534668,0.495
2024-03-27,196.75074768066406,312.4877624511719,193.52847290039062,121.7126693725586,97.8392333984375,64.92833709716797,261.004150390625,238.02914428710938,78.60781860351562,128.2906494140625,132.52047729492188,22.06999969482422,256.70001220703125,14.210000038146973,27.508956909179688,167.4499969482422,13.100000381469727,158.22984313964844,45.16670227050781,0.495
2024-03-28,197.21380615234375,312.1046142578125,193.78477478027344,123.03926849365234,98.2807846069336,64.83683013916016,260.98480224609375,238.02914428710938,79.16622924804688,128.09542846679688,133.6074676513672,22.579999923706055,265.1199951171875,14.119999885559082,27.578079223632812,168.8000030517578,13.180000305175781,160.67091369628906,45.14680099487305,0.495
2024-04-01,196.5867462158203,310.1302490234375,192.1614990234375,123.8520736694336,97.4552993774414,64.97038269042969,258.727294921875,236.00128173828125,77.83885955810547,128.71041870117188,132.85784912109375,21.6299991607666,252.11000061035156,14.260000228881836,27.662015914916992,171.8699951171875,12.739999771118164,158.06385803222656,44.8482780456543,0.485
2024-04-02,195.61239624023438,305.1794738769531,191.01290893554688,125.49633026123047,96.88896942138672,64.23710632324219,254.45347595214844,234.60714721679688,76.8593521118164,128.77874755859375,132.99838256835938,19.729999542236328,245.83999633789062,13.90999984741211,28.259449005126953,167.1699981689453,11.720000267028809,151.98069763183594,43.17654037475586,0.485
2024-04-03,197.2041473388672,305.46435546875,188.92449951171875,126.49595642089844,96.9081802368164,64.36942291259766,254.48239135742188,236.0987548828125,76.94174194335938,129.5987548828125,132.55796813964844,19.43000030517578,251.5800018310547,14.0600004196167,28.331039428710938,166.72999572753906,12.40999984741211,154.09954833984375,43.66413116455078,0.475
2024-04-04,195.02392578125,301.58428955078125,188.089111328125,126.33715057373047,95.82352447509766,63.329490661621094,251.04788208007812,234.02220153808594,76.44741821289062,128.1344451904297,132.21124267578125,18.469999313354492,249.61000061035156,14.050000190734863,27.41020965576172,171.4600067138672,12.119999885559082,152.44940185546875,43.504920959472656,0.465
2024-04-05,196.47100830078125,303.8042907714844,188.44984436035156,127.71047973632812,96.639404296875,64.099853515625,253.13174438476562,237.08346557617188,76.84103393554688,129.51089477539062,132.78285217285156,18.43000030517578,240.89999389648438,15.140000343322754,27.815078735351562,174.60000610351562,11.829999923706055,154.78306579589844,42.91781997680664,0.465
