k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,etf,bar_freq
-1,y_leads_x,3.211276800664621e-06,2.1818149645536282,0.029123191691814338,0.012844437026415245,63646,17,VIS,5s
1,x_leads_y,3.1435722930330614e-06,2.099603570341259,0.03576372844848197,0.012844437026415245,63646,17,VIS,5s
2,x_leads_y,3.1719544031373898e-06,3.6800578507031143,0.00023318104729552,0.012844437026415245,63646,17,VIS,5s
3,x_leads_y,1.684726046593263e-06,2.266263069494744,0.023435281128678764,0.012844437026415245,63646,17,VIS,5s
4,x_leads_y,5.153752647004824e-07,0.7764501600968082,0.43748323766541997,0.012844437026415245,63646,17,VIS,5s
5,x_leads_y,1.644397107308382e-06,1.5403445670407991,0.1234763857407274,0.012844437026415245,63646,17,VIS,5s
6,x_leads_y,1.7077967410129112e-06,3.9315342848417694,8.440545605243102e-05,0.012844437026415245,63646,17,VIS,5s
7,x_leads_y,3.2172298868094745e-07,0.3082200429784186,0.7579149022912919,0.012844437026415245,63646,17,VIS,5s
8,x_leads_y,9.69662340400248e-07,2.287103057979271,0.022189808445246855,0.012844437026415245,63646,17,VIS,5s
9,x_leads_y,1.316614703531663e-06,2.384661158394421,0.01709485864221037,0.012844437026415245,63646,17,VIS,5s
10,x_leads_y,-9.440040544061542e-08,-0.3951472625616989,0.6927342105371281,0.012844437026415245,63646,17,VIS,5s
-10,y_leads_x,2.6423382592846165e-07,0.40599782749466645,0.6847441966873626,0.05237364098549624,72278,17,VCR,5s
-9,y_leads_x,2.9781169243583576e-07,0.46256905524429637,0.6436732937279541,0.05237364098549624,72278,17,VCR,5s
-8,y_leads_x,9.378462794770234e-08,0.1524465126972138,0.8788347739263932,0.05237364098549624,72278,17,VCR,5s
-7,y_leads_x,6.089342124193196e-07,0.8658466002961799,0.3865742901733441,0.05237364098549624,72278,17,VCR,5s
-6,y_leads_x,5.293922807906495e-07,0.9340959409339873,0.35025440557055876,0.05237364098549624,72278,17,VCR,5s
-5,y_leads_x,3.0200578882339008e-06,4.865415909794636,1.1421636542323957e-06,0.05237364098549624,72278,17,VCR,5s
-4,y_leads_x,-3.040028071168883e-07,-0.4618203765667879,0.6442101371864133,0.05237364098549624,72278,17,VCR,5s
-3,y_leads_x,5.801142466427363e-07,0.7646083516911493,0.4445047944746847,0.05237364098549624,72278,17,VCR,5s
-2,y_leads_x,2.4214819311463785e-06,4.1902670220298575,2.7862637016389662e-05,0.05237364098549624,72278,17,VCR,5s
-1,y_leads_x,1.5316503790719157e-05,16.661707739533508,2.488172762119839e-62,0.05237364098549624,72278,17,VCR,5s
1,x_leads_y,1.5287763168195642e-05,16.746074219875485,6.048861461538085e-63,0.05237364098549624,72278,17,VCR,5s
2,x_leads_y,2.425227101970019e-06,4.114660985067628,3.8774886887468154e-05,0.05237364098549624,72278,17,VCR,5s
3,x_leads_y,6.304477880258288e-07,0.8417793413809345,0.39991147755907275,0.05237364098549624,72278,17,VCR,5s
4,x_leads_y,-3.1164430360947106e-07,-0.487397044334315,0.6259769877153385,0.05237364098549624,72278,17,VCR,5s
5,x_leads_y,2.9354922019030613e-06,5.074907322081331,3.876849118202456e-07,0.05237364098549624,72278,17,VCR,5s
6,x_leads_y,5.840394847321824e-07,1.0899149377606663,0.27575061584800853,0.05237364098549624,72278,17,VCR,5s
