k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_etf,y_etf,bar_freq
9,x_leads_y,3.035759273800043e-07,0.5058116001915804,0.6129889142910698,0.20393592576075592,70783,16,VOX,VCR,5s
10,x_leads_y,1.3754527854590507e-07,0.25200522826766336,0.8010370226243697,0.20393592576075592,70783,16,VOX,VCR,5s
-10,y_leads_x,6.430132227099948e-07,1.380339343920607,0.16748218646218627,0.25556325722395246,74120,16,VGT,VCR,5s
-9,y_leads_x,9.489720121832708e-08,0.1866190443053719,0.8519593338708886,0.25556325722395246,74120,16,VGT,VCR,5s
-8,y_leads_x,4.7454864950259245e-08,0.11810260721511714,0.9059863576533769,0.25556325722395246,74120,16,VGT,VCR,5s
-7,y_leads_x,-1.6249139147511606e-07,-0.3711387123486141,0.7105342185498625,0.25556325722395246,74120,16,VGT,VCR,5s
-6,y_leads_x,-2.0634146456989435e-07,-0.4625373486692597,0.6436960253043553,0.25556325722395246,74120,16,VGT,VCR,5s
-5,y_leads_x,2.5660369937412734e-07,0.6487185323613397,0.5165203234768103,0.25556325722395246,74120,16,VGT,VCR,5s
-4,y_leads_x,2.3396788278921018e-07,0.5859703151681135,0.5578954633742235,0.25556325722395246,74120,16,VGT,VCR,5s
-3,y_leads_x,1.748936972754234e-07,0.23560597137744335,0.8137384394054079,0.25556325722395246,74120,16,VGT,VCR,5s
-2,y_leads_x,1.4963986398925224e-06,3.7725482455675596,0.0001615887077437214,0.25556325722395246,74120,16,VGT,VCR,5s
-1,y_leads_x,1.7941856338696832e-06,5.1223200531788695,3.017990608700985e-07,0.25556325722395246,74120,16,VGT,VCR,5s
0,contemporaneous,4.7958566547835044e-05,23.580534621714364,6.105295953518997e-123,0.25556325722395246,74120,16,VGT,VCR,5s
1,x_leads_y,1.540559054726122e-05,14.568344304660345,4.4658375414782695e-48,0.25556325722395246,74120,16,VGT,VCR,5s
2,x_leads_y,4.728331911899665e-06,6.101899065025618,1.0481556144496495e-09,0.25556325722395246,74120,16,VGT,VCR,5s
3,x_leads_y,2.691731743874346e-06,3.8452629526895628,0.00012042323096632775,0.25556325722395246,74120,16,VGT,VCR,5s
4,x_leads_y,7.134785455857416e-07,1.1852865826746808,0.2359041566245612,0.25556325722395246,74120,16,VGT,VCR,5s
5,x_leads_y,1.4053052887350353e-06,2.842617617615051,0.004474471787239886,0.25556325722395246,74120,16,VGT,VCR,5s
6,x_leads_y,5.553422638578374e-07,0.950499451975663,0.34185853222944185,0.25556325722395246,74120,16,VGT,VCR,5s
7,x_leads_y,1.3514620257690395e-06,3.5929254510271464,0.00032698615982672025,0.25556325722395246,74120,16,VGT,VCR,5s
8,x_leads_y,-2.130563914681331e-07,-0.3730258236219229,0.7091292243908991,0.25556325722395246,74120,16,VGT,VCR,5s
9,x_leads_y,1.0680770174411343e-07,0.184436094052955,0.8536713565158861,0.25556325722395246,74120,16,VGT,VCR,5s
10,x_leads_y,-2.802790296338093e-07,-0.3820600813594063,0.7024168002579938,0.25556325722395246,74120,16,VGT,VCR,5s
-10,y_leads_x,6.904327621781762e-08,0.22976517540593205,0.8182742467766897,0.16013263708153314,115461,28,VFH,VIS,5s
-9,y_leads_x,2.509376918991523e-07,0.6056347276636322,0.5447573363572606,0.16013263708153314,115461,28,VFH,VIS,5s
-8,y_leads_x,2.3444625327725688e-07,0.5946818583668443,0.5520561507212165,0.16013263708153314,115461,28,VFH,VIS,5s
-7,y_leads_x,9.910789219148411e-07,2.63657590856289,0.008374746025291547,0.16013263708153314,115461,28,VFH,VIS,5s
-6,y_leads_x,7.340095350809938e-07,2.2787662936641726,0.022680961561758566,0.16013263708153314,115461,28,VFH,VIS,5s
-5,y_leads_x,-9.441424259434009e-08,-0.26257653813638426,0.7928769855253759,0.16013263708153314,115461,28,VFH,VIS,5s
-4,y_leads_x,-2.5659602808502035e-07,-0.6799903501613141,0.496510571068165,0.16013263708153314,115461,28,VFH,VIS,5s
-3,y_leads_x,-1.7859050705953794e-08,-0.06921005108102224,0.9448224226882493,0.16013263708153314,115461,28,VFH,VIS,5s
-2,y_leads_x,3.887205180242789e-08,0.0833760426681086,0.9335525373545226,0.16013263708153314,115461,28,VFH,VIS,5s
-1,y_leads_x,3.6930668655819635e-06,8.608858838673724,7.37914480753955e-18,0.16013263708153314,115461,28,VFH,VIS,5s
0,contemporaneous,2.8000550665876568e-05,26.167562877232093,6.220862267592409e-151,0.16013263708153314,115461,28,VFH,VIS,5s
1,x_leads_y,1.2802128488015238e-05,28.34542194233081,9.531396707112793e-177,0.16013263708153314,115461,28,VFH,VIS,5s
2,x_leads_y,5.769022596617464e-06,11.924586989706937,8.811995110226493e-33,0.16013263708153314,115461,28,VFH,VIS,5s
3,x_leads_y,3.088459121855287e-06,6.001929674631451,1.9498615746787795e-09,0.16013263708153314,115461,28,VFH,VIS,5s
4,x_leads_y,2.482510851510265e-06,4.759562143632878,1.9401338470380215e-06,0.16013263708153314,115461,28,VFH,VIS,5s
5,x_leads_y,1.643034907655382e-06,3.7893755142473062,0.00015102647043911788,0.16013263708153314,115461,28,VFH,VIS,5s
6,x_leads_y,1.4961237891817101e-06,4.127170151376355,3.672546602901632e-05,0.16013263708153314,115461,28,VFH,VIS,5s
7,x_leads_y,1.504293073701804e-06,3.608044999479993,0.0003085129890264416,0.16013263708153314,115461,28,VFH,VIS,5s
8,x_leads_y,1.1871818460689697e-06,2.8260417502228843,0.004712712112011885,0.16013263708153314,115461,28,VFH,VIS,5s
9,x_leads_y,9.341642552981221e-07,2.9872083387283195,0.002815377890513158,0.16013263708153314,115461,28,VFH,VIS,5s
10,x_leads_y,4.1892360451180933e-07,2.0004808868105037,0.0454483617740411,0.16013263708153314,115461,28,VFH,VIS,5s
-10,y_leads_x,-2.9639348005613e-07,-0.573641680116942,0.5662103007574679,0.12305892638194882,115463,28,VFH,VDE,5s
-9,y_leads_x,7.83579342270851e-07,1.4755877735626808,0.14005458933352535,0.12305892638194882,115463,28,VFH,VDE,5s
-8,y_leads_x,-2.227964774601335e-07,-0.46213228247414634,0.6439864610596343,0.12305892638194882,115463,28,VFH,VDE,5s
-7,y_leads_x,8.796991931042464e-08,0.13417577632182487,0.8932635803813688,0.12305892638194882,115463,28,VFH,VDE,5s
-6,y_leads_x,2.057810850161025e-07,0.26011022092221026,0.7947787540616111,0.12305892638194882,115463,28,VFH,VDE,5s
-5,y_leads_x,-1.8236674019187858e-07,-0.2601280196773167,0.7947650251192444,0.12305892638194882,115463,28,VFH,VDE,5s
-4,y_leads_x,6.878400814097597e-08,0.11678321332412255,0.9070318465450051,0.12305892638194882,115463,28,VFH,VDE,5s
-3,y_leads_x,-1.056372508670282e-07,-0.23653497347632055,0.8130175721723722,0.12305892638194882,115463,28,VFH,VDE,5s
-2,y_leads_x,1.495592584280324e-06,2.24692265564378,0.02464497053673115,0.12305892638194882,115463,28,VFH,VDE,5s
-1,y_leads_x,6.1783979094433116e-06,8.163001972686567,3.2679916543119833e-16,0.12305892638194882,115463,28,VFH,VDE,5s
0,contemporaneous,4.433968145951938e-05,58.12956137377486,0.0,0.12305892638194882,115463,28,VFH,VDE,5s
1,x_leads_y,4.212448779874999e-06,4.968087396669978,6.761648912610641e-07,0.12305892638194882,115463,28,VFH,VDE,5s
2,x_leads_y,-7.67982307098119e-08,-0.12413855367744084,0.9012055728146211,0.12305892638194882,115463,28,VFH,VDE,5s
3,x_leads_y,-1.4117708987846522e-06,-3.0911699035197735,0.001993695189613684,0.12305892638194882,115463,28,VFH,VDE,5s
4,x_leads_y,-1.4906729044527803e-07,-0.25816223052981774,0.7962817057717791,0.12305892638194882,115463,28,VFH,VDE,5s
5,x_leads_y,1.0123994329723257e-07,0.3133930071763308,0.7539820963066591,0.12305892638194882,115463,28,VFH,VDE,5s
6,x_leads_y,1.6674613427738642e-07,0.3493404778040851,0.7268337134187992,0.12305892638194882,115463,28,VFH,VDE,5s
7,x_leads_y,-5.695333893411076e-07,-1.2069375384102512,0.22745619971250386,0.12305892638194882,115463,28,VFH,VDE,5s
8,x_leads_y,-2.0420527052860067e-08,-0.040386968003318965,0.9677846198001749,0.12305892638194882,115463,28,VFH,VDE,5s
9,x_leads_y,-5.62362008702573e-07,-0.872870714384473,0.38273355036448964,0.12305892638194882,115463,28,VFH,VDE,5s
10,x_leads_y,6.015893289676316e-07,2.474576900953595,0.013339409940386567,0.12305892638194882,115463,28,VFH,VDE,5s
-10,y_leads_x,1.0873049502383952e-06,2.07205547280948,0.03826026819862578,0.07167048544969501,103464,28,VIS,VDE,5s
-9,y_leads_x,7.233243084572794e-07,1.350669052950693,0.17680146990495638,0.07167048544969501,103464,28,VIS,VDE,5s
-8,y_leads_x,1.001469045008727e-06,1.5774815858224847,0.11468475586571329,0.07167048544969501,103464,28,VIS,VDE,5s
-7,y_leads_x,1.1449058163212927e-06,1.884308266899879,0.05952328984924806,0.07167048544969501,103464,28,VIS,VDE,5s
-6,y_leads_x,-4.145894944152139e-07,-0.8555724733612833,0.392234301203233,0.07167048544969501,103464,28,VIS,VDE,5s
-5,y_leads_x,1.4015337269410506e-06,2.512168159300645,0.011999189620855314,0.07167048544969501,103464,28,VIS,VDE,5s
-4,y_leads_x,1.2969387465901744e-06,2.0061022519511105,0.04484533965382785,0.07167048544969501,103464,28,VIS,VDE,5s
-3,y_leads_x,7.412218840878459e-08,0.08625005606516678,0.9312676399401227,0.07167048544969501,103464,28,VIS,VDE,5s
-2,y_leads_x,4.728316451591337e-06,6.3832282748818825,1.733931331071296e-10,0.07167048544969501,103464,28,VIS,VDE,5s
-1,y_leads_x,1.1320805827175495e-05,12.681915933216434,7.4488546766089646e-37,0.07167048544969501,103464,28,VIS,VDE,5s
0,contemporaneous,3.1185347248717086e-05,21.570895996527362,3.3710136058503886e-103,0.07167048544969501,103464,28,VIS,VDE,5s
1,x_leads_y,-7.919504483192279e-07,-1.0686381939997132,0.2852327312733527,0.07167048544969501,103464,28,VIS,VDE,5s
2,x_leads_y,-2.670592274842434e-06,-3.9053541890637944,9.408747655095036e-05,0.07167048544969501,103464,28,VIS,VDE,5s
3,x_leads_y,-2.6169070660507986e-06,-2.8870229675243886,0.0038890584033601486,0.07167048544969501,103464,28,VIS,VDE,5s
4,x_leads_y,-1.3724995714945364e-06,-1.5215627638466307,0.12811867361708065,0.07167048544969501,103464,28,VIS,VDE,5s
5,x_leads_y,2.1627048915414744e-07,0.3553463809580044,0.7223301127321349,0.07167048544969501,103464,28,VIS,VDE,5s
6,x_leads_y,-6.503178308460739e-07,-1.4586225756104778,0.1446690165040309,0.07167048544969501,103464,28,VIS,VDE,5s
7,x_leads_y,-2.0088168819075073e-07,-0.24692462928498246,0.8049665549906759,0.07167048544969501,103464,28,VIS,VDE,5s
8,x_leads_y,-1.0513758484254588e-06,-1.4284874824506626,0.15315159501282705,0.07167048544969501,103464,28,VIS,VDE,5s
9,x_leads_y,3.2175444645393063e-07,0.5492343778570496,0.5828446149235176,0.07167048544969501,103464,28,VIS,VDE,5s
10,x_leads_y,-2.7170656855498196e-09,-0.006865741139541479,0.9945219741838879,0.07167048544969501,103464,28,VIS,VDE,5s
-10,y_leads_x,2.9506568686671225e-07,0.6847227396200767,0.4935188968572788,0.17127819661816202,70118,17,VFH,VIS,5s
-9,y_leads_x,5.16797153510636e-07,0.8632996009271922,0.3879727635608978,0.17127819661816202,70118,17,VFH,VIS,5s
-8,y_leads_x,2.3301067682880298e-07,0.46022698085044866,0.6453533065603085,0.17127819661816202,70118,17,VFH,VIS,5s
