k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_ticker,y_ticker,bar_freq
-7,y_leads_x,-0.21691150338822712,-1.0548959039452885,0.2914729358076902,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-6,y_leads_x,-0.04895890596086948,-0.9653250548955488,0.3343820262845738,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-5,y_leads_x,-0.1516670376230752,-2.5493287991214193,0.010793048895686561,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-4,y_leads_x,-0.2204302297169859,-1.3689594058224515,0.1710119644821736,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-3,y_leads_x,0.015408694045157587,0.13848515919519397,0.889856997849275,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-2,y_leads_x,0.0393187879751797,1.5381089679630084,0.12402197363942505,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-1,y_leads_x,-0.05762180439910907,-2.3875957478381618,0.016958984548723268,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
0,contemporaneous,0.022437134909028374,0.5312866573165956,0.5952201500155485,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
1,x_leads_y,-0.0019500142572226502,-0.038708950930538784,0.9691224369487937,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
2,x_leads_y,0.06181516789677306,1.101238305363104,0.27079295428538075,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
3,x_leads_y,-0.002133755148888806,-0.048007844559160115,0.9617099907632911,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
4,x_leads_y,-0.005084914127915709,-0.09159835687944522,0.9270171569834754,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
5,x_leads_y,0.011658743227238231,0.3270265102526882,0.7436478343671835,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
6,x_leads_y,0.04260630433630736,0.9119232644964939,0.3618091137761956,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
7,x_leads_y,-0.008487389480636988,-0.1167616251601899,0.9070489543697592,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
8,x_leads_y,-0.048164947382202936,-0.664389784098782,0.5064408696382587,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
9,x_leads_y,-0.02419115409025879,-0.6063285106180064,0.5442966299686492,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
10,x_leads_y,-0.048412918916409454,-0.714158745552394,0.47512902359764975,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-10,y_leads_x,-0.009909126594061117,-1.1944328566713704,0.23230869063926451,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-9,y_leads_x,-0.01223470965296045,-1.4675416805216484,0.1422287594920468,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-8,y_leads_x,-0.02121569594269804,-1.5760356451069633,0.11501758868310322,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-7,y_leads_x,-0.03588948842630526,-2.012790853593035,0.04413663654318764,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-6,y_leads_x,-0.03336265780242118,-1.6717904078511812,0.09456565896463762,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-5,y_leads_x,-0.02612842174019578,-1.5154585282878341,0.12965632514076128,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-4,y_leads_x,-0.02322251345868019,-1.1453073056913703,0.2520818807092178,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-3,y_leads_x,-0.016094094177111756,-0.660745343448557,0.508775639545715,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-2,y_leads_x,-0.011907766197449498,-0.3919865907713558,0.6950681216034414,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
-1,y_leads_x,-0.0015736621845307184,-0.03947386432702893,0.968512590517098,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
0,contemporaneous,-0.003997005245450133,-0.09871734385906662,0.9213626977217497,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
1,x_leads_y,-0.0031579778542293927,-0.09860009818517633,0.9214557920615419,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
2,x_leads_y,0.002121891151463193,0.06660066650551962,0.9468996151309929,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
3,x_leads_y,0.0010145236677702246,0.031930123176711914,0.974527776060784,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
4,x_leads_y,0.0074627314234515,0.24296290361585973,0.8080341351026532,0.7536801557418786,47,12,KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,600s
