contract_ticker,etf,mode,bar_freq,bar_sec,is_primary_bar,median_intertrade_sec,K_chosen,k_lag,direction,coef,t_stat,p_value,p_fdr,r_squared,n_obs,n_days,n_params,n_active,n_ylags,n_active_bars,r2_daily_screen,contract_title
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,0,contemp,-5.961656526206682e-07,-0.22309105448485037,0.823464640412209,0.9263977204637351,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,1,kalshi_leads_etf,-7.21268613062126e-06,-0.4944095122936225,0.6210169974425511,0.9263977204637351,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,2,kalshi_leads_etf,8.92545756348551e-08,0.032848028493894815,0.9737957776586026,0.9737957776586026,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,3,kalshi_leads_etf,-2.767794980429113e-06,-0.25843126451999143,0.796074090280608,0.9263977204637351,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,2min,120,False,1343.6,4,4,kalshi_leads_etf,-2.4553962136231245e-05,-2.2684970193887857,0.02329893047191425,0.06989679141574276,0.050718774611287265,987,7,17,20,1,20,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,-4,etf_leads_kalshi,2.876265801756314e-05,2.1483862905542295,0.031683080964138154,0.07128693216931085,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,-3,etf_leads_kalshi,3.5016542916385566e-05,0.7768528620945876,0.4372455846506734,0.5313844492829721,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,-2,etf_leads_kalshi,1.4292544185288587e-05,1.7219616393831672,0.08507646772535044,0.12761470158802565,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,-1,etf_leads_kalshi,-2.3060158450446245e-05,-1.8406526161100754,0.06567248189188425,0.11821046740539165,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,0,contemp,-6.01511913523592e-06,-0.7186741201007805,0.47234173269597524,0.5313844492829721,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,1,kalshi_leads_etf,4.187990406991712e-06,0.18308584136941017,0.8547306649507431,0.8547306649507431,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,2,kalshi_leads_etf,-5.20385974991863e-05,-4.403746973669536,1.0639703073585791e-05,9.575732766227212e-05,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,calendar,5min,300,False,1343.6,4,3,kalshi_leads_etf,2.9470026959896437e-05,2.2618638903259534,0.02370581397087047,0.07111744191261142,0.0814950561323019,358,7,17,15,1,17,0.7907331233858175,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
